taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
7992;2016-12-17 22:15:00;3120;0;43,5;12;bankkártya
8117;2016-12-17 22:30:00;600;0;7;0;készpénz
6094;2016-12-17 23:15:00;480;0;6,25;0;készpénz
53;2016-12-18 01:15:00;300;0;5,5;0;készpénz
3209;2016-12-18 05:30:00;660;0;10;0;készpénz
1633;2016-12-18 11:00:00;660;0;9,5;0;készpénz
7523;2016-12-18 15:00:00;480;0;7;1;bankkártya
4680;2016-12-18 19:15:00;480;0;6,75;0;készpénz
3089;2016-12-19 02:30:00;240;0;6,25;2;bankkártya
1030;2016-12-19 09:15:00;480;0;6,75;1;bankkártya
3721;2016-12-19 14:15:00;720;0;9,5;0;készpénz
3773;2016-12-19 14:30:00;480;0;6,5;0;készpénz
6989;2016-12-19 14:45:00;300;0;5,25;0;készpénz
7257;2016-12-19 15:15:00;840;0;9,25;0;készpénz
6407;2016-12-19 15:15:00;180;0;4,75;0;készpénz
4653;2016-12-19 16:15:00;600;0;7,5;2;bankkártya
4254;2016-12-19 17:30:00;240;0;4,5;2;bankkártya
1736;2016-12-19 20:30:00;180;0;4,5;2;bankkártya
6902;2016-12-20 02:45:00;300;0;6,25;2;bankkártya
6016;2016-12-20 08:15:00;660;0;20,1;0;ismeretlen
788;2016-12-20 08:45:00;600;0;7,75;4,38;bankkártya
7375;2016-12-20 15:45:00;480;0;6,25;0;készpénz
1989;2016-12-20 16:45:00;300;0;5,75;0;készpénz
6923;2016-12-20 17:00:00;240;0;4,25;0;készpénz
5475;2016-12-20 18:00:00;300;0;5,5;0;készpénz
1261;2016-12-20 18:45:00;600;0;7,25;1,5;bankkártya
5114;2016-12-20 19:30:00;2040;0;32,25;8,05;bankkártya
1924;2016-12-20 19:30:00;540;0;7,5;0;készpénz
8014;2016-12-20 21:30:00;180;0;5;0;készpénz
602;2016-12-20 23:15:00;1080;0;15,75;1;bankkártya
1460;2016-12-21 13:45:00;900;0;9,25;0;készpénz
3017;2016-12-21 14:45:00;120;0;4,5;2;bankkártya
7923;2016-12-21 16:30:00;1620;0;21,5;0;készpénz
433;2016-12-21 17:15:00;1020;0;18,25;0;készpénz
6744;2016-12-21 18:00:00;1080;0;9,75;0;készpénz
3684;2016-12-21 19:15:00;480;0;7;0;készpénz
451;2016-12-21 21:00:00;420;0;6,75;2;bankkártya
4638;2016-12-21 23:00:00;600;0;8,75;3;bankkártya
5357;2016-12-22 01:30:00;660;0;10,5;1;bankkártya
8232;2016-12-22 13:00:00;840;0;14,25;0;készpénz
2121;2016-12-22 14:15:00;420;0;6,25;2;bankkártya
5729;2016-12-22 14:15:00;240;0;4,75;0;készpénz
8193;2016-12-22 14:45:00;780;0;8;2;bankkártya
8636;2016-12-22 17:30:00;480;0;6,5;0;készpénz
1482;2016-12-22 17:45:00;300;0;5,5;0;készpénz
8022;2016-12-22 17:45:00;780;0;9,5;0;készpénz
2457;2016-12-22 20:00:00;960;0;11;0;készpénz
4092;2016-12-22 23:30:00;240;0;5,25;2;bankkártya
8232;2016-12-23 00:30:00;540;0;12,25;0;készpénz
5406;2016-12-23 09:30:00;360;0;6;0;készpénz
3899;2016-12-23 10:00:00;1560;0;36,5;0;készpénz
6923;2016-12-23 11:30:00;420;0;7,5;2;bankkártya
6086;2016-12-23 13:30:00;1080;0;11,5;3,75;bankkártya
3594;2016-12-23 15:30:00;2400;0;23,5;0;készpénz
8648;2016-12-23 16:15:00;300;0;5,5;0;készpénz
6569;2016-12-23 16:45:00;300;0;5,5;0;készpénz
8016;2016-12-23 17:15:00;240;0;4,75;0;készpénz
7531;2016-12-24 01:15:00;360;0;6,5;0;készpénz
1460;2016-12-24 18:45:00;300;0;5,25;1;bankkártya
1691;2016-12-24 21:15:00;660;0;10,5;0;készpénz
6775;2016-12-26 01:15:00;420;0;8;0;készpénz
1811;2016-12-26 13:00:00;360;0;6,75;2;bankkártya
3514;2016-12-26 19:45:00;420;0;7,25;0;készpénz
505;2016-12-26 22:15:00;600;0;9,25;2;bankkártya
2819;2016-12-26 22:15:00;240;0;5,5;0;készpénz
6544;2016-12-27 16:15:00;1020;0;12;0;készpénz
1110;2016-12-27 18:00:00;360;0;5,5;0;készpénz
4325;2016-12-27 23:45:00;420;0;7;2;bankkártya
2240;2016-12-28 14:45:00;300;0;5,75;0;készpénz
7622;2016-12-28 15:45:00;900;0;12,75;0;készpénz
8636;2016-12-28 17:00:00;420;0;7;0;készpénz
2240;2016-12-28 17:30:00;540;0;7;0;készpénz
4325;2016-12-29 09:00:00;1020;0;24,75;2;bankkártya
5901;2016-12-29 10:45:00;660;0;7,75;0;készpénz
5243;2016-12-29 12:15:00;1380;0;26,5;0;készpénz
157;2016-12-29 17:30:00;240;0;5;1;bankkártya
5856;2016-12-29 18:45:00;300;0;5,25;0;készpénz
5130;2016-12-29 21:00:00;540;0;7,25;0;készpénz
4560;2016-12-30 00:15:00;180;0;5;0;ingyenes
1098;2016-12-30 12:45:00;660;0;14,5;2;bankkártya
3465;2016-12-30 12:45:00;240;0;5;0;készpénz
8563;2016-12-30 12:45:00;780;0;9;0;készpénz
4877;2016-12-30 12:45:00;300;0;5,75;2;bankkártya
4109;2016-12-30 14:15:00;540;0;8,5;2;bankkártya
7643;2016-12-30 17:00:00;240;0;5;0;készpénz
3043;2016-12-30 17:45:00;600;0;8,75;2;bankkártya
4675;2016-12-30 19:00:00;360;0;6,25;3;bankkártya
1261;2016-12-30 21:00:00;480;0;7,75;2;bankkártya
8031;2016-12-30 21:00:00;840;0;11,5;2,3;bankkártya
414;2016-12-30 21:15:00;120;0;4,25;2;bankkártya
6902;2016-12-30 22:30:00;180;0;4,25;0;készpénz
812;2016-12-30 23:15:00;540;0;7,5;2;bankkártya
3649;2016-12-31 00:30:00;420;0;7;0;készpénz
6513;2016-12-31 01:00:00;240;0;5,25;4;bankkártya
2388;2016-12-31 02:30:00;180;0;4,75;0;készpénz
684;2016-12-31 12:30:00;240;0;5;1;bankkártya
3799;2016-12-31 14:15:00;240;0;5,5;0;készpénz
547;2016-12-31 16:00:00;300;0;3,25;0;készpénz
8274;2016-12-31 16:15:00;720;0;9,75;2,15;bankkártya
2538;2016-12-31 17:15:00;540;0;6,75;0;készpénz
1164;2016-12-31 19:30:00;240;0;5,25;0;készpénz
4119;2016-12-31 19:45:00;1440;0;18;0;készpénz
3612;2016-12-31 21:30:00;1200;0;16;0;készpénz
4638;2016-12-31 22:45:00;2400;0;44;11,25;bankkártya
